Protein_ID,Sequence_Length,DualEvo_Distances,DualEvo_Mean_Distance,SCREEN_Distances,SCREEN_Mean_Distance,Squidly_Distances,Squidly_Mean_Distance
P27035,459,"[0, 0]",0.0,"[77, 1, 0, 27, 25, 0, 40]",24.285714285714285,"[0, 0]",0.0
P40601,645,"[0, 86, 0]",28.666666666666668,"[0, 9, 90, 0, 0, 44]",23.833333333333332,"[0, 0]",0.0
I1BYM7,385,"[0, 0]",0.0,"[21, 18, 1, 0, 36]",15.2,"[0, 0]",0.0
P21637,459,"[311, 0, 0, 0, 0]",62.2,"[190, 1, 0, 0]",47.75,[],459.0
P32586,711,[0],0.0,"[95, 29, 1, 0, 6, 7]",23.0,[0],0.0
Q8MYY6,558,"[0, 0, 0, 0, 0, 0, 0, 0, 2]",0.2222222222222222,"[3, 0, 0]",1.0,[],558.0
Q86TM3,631,[65],65.0,"[176, 81, 17, 23, 4, 97, 242, 246]",110.75,[],631.0
Q92111,524,[0],0.0,"[135, 131, 127, 0]",98.25,[],524.0
Q8TZH9,254,"[0, 1, 0, 0, 0, 0]",0.16666666666666666,"[21, 0, 2]",7.666666666666667,[],254.0
Q55A00,406,"[0, 0]",0.0,"[2, 0, 0, 0]",0.5,[0],0.0
Q8H215,68,[0],0.0,"[3, 0]",1.5,[],68.0
Q02863,499,"[0, 0]",0.0,"[0, 0]",0.0,"[0, 0]",0.0
O45797,908,"[0, 0]",0.0,"[88, 0, 2, 5, 79, 242]",69.33333333333333,[0],0.0
Q9VUY0,698,"[0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0]",0.0,[],698.0
P23382,687,"[70, 0, 0, 0, 6, 153, 212]",63.0,"[0, 8, 153]",53.666666666666664,[0],0.0
B2AM55,430,[0],0.0,"[271, 165, 133, 0]",142.25,[0],0.0
P74297,574,"[0, 0]",0.0,"[56, 0, 0, 2, 281]",67.8,[0],0.0
B6H6L7,399,"[0, 0, 0]",0.0,"[0, 0, 43, 0, 5, 174]",37.0,"[0, 0, 0]",0.0
F1SY74,613,[0],0.0,"[144, 0]",72.0,[],613.0
Q0WSX8,255,[],255.0,"[65, 0]",32.5,[0],0.0
Q86JJ0,312,"[22, 0, 22, 0, 116]",32.0,[],312.0,[],312.0
Q67SW0,517,"[0, 0, 0, 0, 16, 15, 0, 0, 0]",3.4444444444444446,"[0, 30, 31, 66, 68, 0, 0, 0]",24.375,[0],0.0
Q4FS72,431,"[0, 0, 0, 0, 0]",0.0,"[3, 0, 7]",3.3333333333333335,[0],0.0
P43337,192,"[0, 0]",0.0,[],192.0,[],192.0
Q9XTD6,384,"[0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 48]",9.6,[0],0.0
Q9VQN8,523,[219],219.0,"[43, 96]",69.5,[],523.0
O06335,552,"[0, 0, 27]",9.0,"[0, 61, 25]",28.666666666666668,[],552.0
P9WNE5,181,"[0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0]",0.0,[],181.0
O32183,127,[0],0.0,"[38, 55, 75]",56.0,[0],0.0
P75430,164,[0],0.0,[9],9.0,[],164.0
Q84BQ9,254,"[0, 0]",0.0,"[0, 0]",0.0,[],254.0
Q9L9E9,288,"[0, 1, 0, 0, 22, 53]",12.666666666666666,"[0, 0, 0, 19]",4.75,[],288.0
Q9LUS8,493,"[0, 0, 0, 0]",0.0,"[0, 113, 54, 0]",41.75,[],493.0
Q04751,285,"[0, 2, 0, 0, 0, 0, 17]",2.7142857142857144,"[20, 0, 1]",7.0,[7],7.0
Q8ZZP3,131,"[0, 1, 0, 0]",0.25,"[0, 36, 0]",12.0,[],131.0
Q6B9Y8,889,"[0, 0, 0, 0, 0, 0, 0]",0.0,[0],0.0,[],889.0
Q5VZV1,264,"[0, 0]",0.0,"[21, 33]",27.0,[],264.0
P53720,384,"[0, 0, 0, 0]",0.0,"[77, 0, 0, 0]",19.25,[],384.0
B6PLN3,105,"[0, 24]",12.0,"[24, 0]",12.0,[],105.0
P91828,360,"[0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 49]",9.8,[0],0.0
Q24488,685,"[0, 0]",0.0,"[0, 4, 19]",7.666666666666667,[0],0.0
F4JNL3,356,"[0, 0, 0]",0.0,"[6, 3, 0, 0, 0]",1.8,"[0, 0, 0]",0.0
P41734,238,"[0, 0, 0]",0.0,"[0, 0, 1, 0, 0]",0.2,"[0, 0, 0]",0.0
P30043,206,[4],4.0,[46],46.0,[],206.0
B1L6M8,590,"[0, 0]",0.0,"[0, 30, 29, 28, 0, 0]",14.5,[0],0.0
Q936X2,605,"[0, 0, 0]",0.0,"[0, 0, 1, 3, 2, 0, 230]",33.714285714285715,"[0, 0, 0]",0.0
P96630,169,"[0, 0, 0, 24]",6.0,"[3, 0, 24]",9.0,[0],0.0
Q99558,947,"[0, 0]",0.0,"[0, 2]",1.0,[0],0.0
A6R104,205,"[16, 0]",8.0,"[36, 16, 36]",29.333333333333332,[],205.0
Q7M0R2,274,"[0, 0]",0.0,[1],1.0,[],274.0
C1F1C7,325,"[160, 0, 0]",53.333333333333336,"[148, 0, 2, 0]",37.5,[],325.0
O28242,313,[0],0.0,"[0, 0]",0.0,"[0, 0]",0.0
O42773,639,"[0, 0, 0, 0, 0, 0, 0, 119]",14.875,"[0, 0, 0, 3, 4, 0, 0, 0, 27, 0]",3.4,[0],0.0
O94702,822,"[0, 0, 0, 0, 0, 24, 10, 0, 0]",3.7777777777777777,"[0, 2, 0, 0, 0, 24, 0, 4]",3.75,[],822.0
Q3S8P9,359,"[0, 25, 0, 0, 0, 0]",4.166666666666667,"[25, 0, 3, 8]",9.0,[],359.0
Q28CZ9,523,"[0, 0, 178, 241, 290, 359, 391]",208.42857142857142,"[0, 383]",191.5,[],523.0
B7XHR6,595,"[0, 0]",0.0,"[88, 0, 2, 5, 37]",26.4,[0],0.0
Q9C533,596,"[0, 15]",7.5,"[152, 319]",235.5,[0],0.0
Q12303,508,"[0, 0]",0.0,"[0, 3, 48, 76, 0, 4]",21.833333333333332,"[0, 0]",0.0
P21514,362,"[0, 0, 0, 1, 3, 22, 2]",4.0,"[76, 3]",39.5,[22],22.0
A1B8Z0,320,"[0, 0, 1, 0, 4]",1.0,[4],4.0,[0],0.0
P37349,472,"[0, 0, 0]",0.0,"[0, 61, 0, 0]",15.25,"[0, 0]",0.0
Q8T0S6,669,"[0, 0]",0.0,"[0, 2, 5]",2.3333333333333335,[0],0.0
Q9I5W4,923,"[0, 0, 0, 16]",4.0,"[0, 16]",8.0,[0],0.0
Q9XSL6,776,"[0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0]",0.0,[0],0.0
P54511,278,"[65, 0, 0]",21.666666666666668,"[0, 0]",0.0,[],278.0
P77791,183,[0],0.0,"[14, 13, 0, 12]",9.75,[],183.0
Q9LIG0,330,"[0, 0, 0]",0.0,"[0, 55, 57, 0]",28.0,[],330.0
A0A1U8QFC3,553,[0],0.0,"[135, 0]",67.5,[],553.0
Q0V147,789,"[17, 0, 0, 39, 32, 0, 0]",12.571428571428571,"[17, 0, 0, 43, 39, 32, 0, 2, 0]",14.777777777777779,[],789.0
Q55CS8,695,[0],0.0,"[30, 0, 6, 7]",10.75,[0],0.0
P23298,683,"[0, 0]",0.0,"[0, 2, 5, 38]",11.25,[0],0.0
Q96329,436,"[11, 0]",5.5,"[57, 9, 16, 1, 8]",18.2,[1],1.0
O93939,498,"[0, 41, 0]",13.666666666666666,"[168, 101, 1, 39, 0]",61.8,[],498.0
Q23544,508,"[0, 0, 4, 0]",1.0,"[4, 0, 8, 11]",5.75,[0],0.0
P55356,474,"[0, 1, 0, 0, 0]",0.2,"[49, 0, 1, 10, 0, 0, 77, 192]",41.125,[0],0.0
Q9FK51,351,"[0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 4, 3, 0, 0, 0]",0.7777777777777778,[],351.0
Q54528,298,"[70, 0, 29, 0, 0]",19.8,"[70, 41, 0, 1, 29, 0, 0]",20.142857142857142,"[0, 0, 0]",0.0
E7EZI4,430,[0],0.0,[],430.0,[0],0.0
Q8VIV2,233,[0],0.0,"[0, 111]",55.5,[0],0.0
O14156,383,"[0, 1, 0, 0]",0.25,"[0, 2, 33, 1, 0, 0]",6.0,[],383.0
P22216,821,"[0, 0]",0.0,"[0, 2, 39, 42]",20.75,[0],0.0
P04635,641,"[0, 0, 0]",0.0,"[0, 1, 0, 0, 1]",0.4,"[0, 0, 0]",0.0
P39840,325,"[103, 76, 0, 0, 0]",35.8,"[76, 0, 0]",25.333333333333332,"[0, 0]",0.0
Q54970,591,"[388, 0, 0]",129.33333333333334,"[326, 325, 183, 53, 4, 7]",149.66666666666666,[],591.0
Q9HKT1,262,[0],0.0,[0],0.0,[],262.0
P15109,197,[],197.0,[8],8.0,[],197.0
Q5A3P6,947,"[0, 0]",0.0,"[0, 2, 0, 1, 29]",6.4,[0],0.0
Q9XB60,250,"[0, 98, 117]",71.66666666666667,"[69, 0, 7, 98]",43.5,[0],0.0
Q5FR18,303,"[0, 0, 0, 0, 0]",0.0,"[2, 3, 4, 27, 3, 0]",6.5,[0],0.0
C7EXL6,666,"[0, 54, 130]",61.333333333333336,"[103, 54, 53, 5, 0, 54, 134]",57.57142857142857,[0],0.0
A0A2P1BT06,707,"[129, 128, 0, 97, 267, 433]",175.66666666666666,"[267, 276, 418]",320.3333333333333,[],707.0
Q54ME1,448,"[0, 0, 0]",0.0,"[225, 134, 6, 0, 0]",73.0,"[0, 0, 0]",0.0
P51599,313,"[0, 1, 0, 4, 0]",1.0,"[0, 1, 0, 30, 2, 0]",5.5,[],313.0
C4LK80,720,"[0, 25, 28, 87]",35.0,"[26, 0, 4, 0, 25, 28, 79]",23.142857142857142,[79],79.0
Q54QG0,769,"[55, 57]",56.0,"[58, 27, 0, 25]",27.5,[0],0.0
A2PU44,601,[396],396.0,[0],0.0,[0],0.0
P53219,342,"[0, 24, 0]",8.0,"[69, 0, 0]",23.0,"[0, 0]",0.0
Q9ZQ31,411,"[0, 0]",0.0,"[0, 22, 0, 2]",6.0,[0],0.0
Q9C5S1,784,[],784.0,[0],0.0,[0],0.0
Q17577,540,"[0, 0, 0]",0.0,"[230, 228, 175, 141, 6, 0]",130.0,[],540.0
P30269,976,"[0, 0, 0, 0, 0]",0.0,"[1, 2, 0, 0, 1, 0]",0.6666666666666666,[0],0.0
S0DS17,369,[0],0.0,"[142, 112, 0]",84.66666666666667,[],369.0
Q5WB95,207,[0],0.0,"[89, 137, 139]",121.66666666666667,[],207.0
Q4PHZ2,517,"[0, 60, 108]",56.0,"[1, 0, 1, 108]",27.5,"[0, 60, 108]",56.0
Q6LX63,566,"[0, 0, 1, 0, 31, 0, 0, 0, 0, 0]",3.2,[0],0.0,[0],0.0
Q9ZJ81,284,"[0, 17, 0, 0]",4.25,"[2, 2]",2.0,[0],0.0
Q8L493,373,[],373.0,"[0, 0]",0.0,[],373.0
P95481,361,"[0, 0]",0.0,"[176, 52, 3, 0]",57.75,[],361.0
P23872,319,"[0, 0, 0]",0.0,"[0, 30, 0, 0, 4]",6.8,"[0, 0, 0]",0.0
Q4PSE8,447,"[0, 0, 0, 0]",0.0,"[0, 1, 74, 1, 0, 0]",12.666666666666666,[],447.0
Q54PK9,908,"[0, 0]",0.0,"[0, 2, 0, 1, 24, 413]",73.33333333333333,[0],0.0
Q8THG6,411,[0],0.0,"[9, 0, 0, 23, 66]",19.6,[],411.0
Q6AIT8,226,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[4, 0, 0, 0]",1.0,"[0, 0]",0.0
P21182,396,[],396.0,"[0, 0, 0]",0.0,[],396.0
O77081,380,[0],0.0,"[21, 0, 0, 0]",5.25,"[21, 0, 0]",7.0
Q4WD45,574,"[159, 123, 78, 2, 0, 0, 2]",52.0,"[78, 76, 58, 55, 2, 0, 2, 0, 2]",30.333333333333332,[],574.0
P0A7A5,208,"[0, 45]",22.5,"[27, 0]",13.5,[],208.0
A5FZN7,223,"[0, 0, 0, 0, 0]",0.0,"[5, 4, 1, 0, 0, 0, 0, 0, 65]",8.333333333333334,[],223.0
P12546,264,"[0, 0, 0]",0.0,"[39, 0, 0, 2, 0, 18, 31]",12.857142857142858,"[0, 0, 0]",0.0
A8BQJ3,754,"[4, 0, 4, 0]",2.0,"[52, 0, 4, 4, 0, 0, 31, 0, 4, 4, 0]",9.0,"[4, 0, 4, 0]",2.0
Q8NE63,616,"[0, 0]",0.0,"[2, 0, 2]",1.3333333333333333,[0],0.0
P33180,494,"[0, 4, 0, 0, 0, 0]",0.6666666666666666,"[6, 1, 0, 0, 1, 4, 64]",10.857142857142858,[],494.0
Q9FM79,380,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0]",0.0,"[0, 0]",0.0
P41654,334,"[0, 0, 0]",0.0,[],334.0,[24],24.0
Q9HV27,393,"[163, 162, 119, 117, 67, 43, 0, 0, 3, 0, 28]",63.81818181818182,"[0, 3, 0, 0, 28, 32]",10.5,[],393.0
O34705,259,"[0, 0, 0]",0.0,"[0, 0, 0]",0.0,"[0, 0, 0]",0.0
Q02595,510,"[0, 0]",0.0,"[0, 2, 39]",13.666666666666666,[0],0.0
O02002,323,"[0, 0]",0.0,"[0, 10, 0]",3.3333333333333335,"[0, 0]",0.0
O25503,262,"[0, 24, 0, 18, 9]",10.2,[],262.0,"[27, 0]",13.5
P38838,269,"[0, 0, 0, 0]",0.0,"[0, 0]",0.0,[0],0.0
P84142,91,"[0, 0]",0.0,"[0, 0]",0.0,"[0, 0]",0.0
Q0P9D4,590,[0],0.0,"[335, 226, 96, 0, 1]",131.6,[0],0.0
Q869L4,793,"[0, 0]",0.0,"[0, 2]",1.0,[0],0.0
Q2UPB4,334,"[31, 0, 0]",10.333333333333334,[7],7.0,[],334.0
D3DFS4,334,[],334.0,"[0, 126, 168, 170]",116.0,[0],0.0
E4N7E5,320,"[0, 0, 0, 0, 0]",0.0,"[1, 0, 0, 26, 0, 0, 1, 3, 78, 79]",18.8,[],320.0
Q7Z9M7,249,"[0, 11, 2]",4.333333333333333,"[0, 0, 11]",3.6666666666666665,[],249.0
Q2NL51,490,"[0, 0]",0.0,"[0, 2]",1.0,[0],0.0
P16854,540,"[0, 0, 0]",0.0,"[50, 0, 0, 0]",12.5,"[0, 0, 0]",0.0
Q86KK2,149,[0],0.0,"[0, 2, 0, 0]",0.5,[],149.0
