Protein_ID,Sequence_Length,Actual_Sites,Predicted_Sites,Num_Actual_Sites,Num_Predicted_Sites,AUC,AUPR,Precision,Recall,F1
Q5VZV1,264,"[92, 141, 172, 193]","[141, 193]",4,2,0.9990,0.9500,1.0000,0.5000,0.6667
P53720,384,"[88, 117, 160, 188]","[88, 117, 160, 188]",4,4,1.0000,1.0000,1.0000,1.0000,1.0000
B6PLN3,105,[48],"[48, 72]",1,2,1.0000,1.0000,0.5000,1.0000,0.6667
P91828,360,"[165, 166, 169, 175]","[165, 166, 169, 175]",4,4,1.0000,1.0000,1.0000,1.0000,1.0000
Q24488,685,"[442, 539]","[442, 539]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
F4JNL3,356,"[157, 294, 314]","[157, 294, 314]",3,3,1.0000,1.0000,1.0000,1.0000,1.0000
P41734,238,"[12, 53, 83, 187, 190]","[12, 187, 190]",5,3,0.9803,0.7718,1.0000,0.6000,0.7500
P30043,206,"[35, 132, 153, 154]",[128],4,1,0.9678,0.3353,0.0000,0.0000,0.0000
B1L6M8,590,"[90, 125, 278, 280, 283]","[280, 283]",5,2,0.9993,0.9267,1.0000,0.4000,0.5714
Q936X2,605,"[91, 165, 189]","[91, 165, 189]",3,3,1.0000,1.0000,1.0000,1.0000,1.0000
P96630,169,"[75, 76, 79]","[75, 76, 79, 103]",3,4,1.0000,1.0000,0.7500,1.0000,0.8571
Q99558,947,"[429, 515]","[429, 515]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
A6R104,205,[162],"[146, 162]",1,2,1.0000,1.0000,0.5000,1.0000,0.6667
Q7M0R2,274,"[133, 156, 198, 207]","[156, 198]",4,2,0.9602,0.5744,1.0000,0.5000,0.6667
C1F1C7,325,"[172, 267]","[12, 172, 267]",2,3,1.0000,1.0000,0.6667,1.0000,0.8000
O28242,313,"[57, 121, 190, 226]",[121],4,1,0.9895,0.6708,1.0000,0.2500,0.4000
O42773,639,"[120, 122, 148, 180, 181, 229, 311]","[120, 122, 148, 180, 181, 229, 311, 430]",7,8,1.0000,1.0000,0.8750,1.0000,0.9333
O94702,822,"[161, 173, 207, 208, 234, 306, 307]","[161, 173, 207, 208, 234, 282, 296, 306, 307]",7,9,1.0000,1.0000,0.7778,1.0000,0.8750
Q3S8P9,359,"[32, 92, 155, 186, 227, 341]","[32, 117, 155, 186, 227, 341]",6,6,0.9958,0.7659,0.8333,0.8333,0.8333
Q28CZ9,523,"[89, 112]","[89, 112, 290, 353, 402, 471, 503]",2,7,0.9952,0.6429,0.2857,1.0000,0.4444
B7XHR6,595,"[96, 188]","[96, 188]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
Q9C533,596,[193],"[193, 208]",1,2,0.9983,0.5000,0.5000,1.0000,0.6667
Q12303,508,"[81, 288]","[81, 288]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
P21514,362,"[127, 141, 200, 232, 262, 286, 341]","[141, 232, 262, 263, 283, 319, 339]",7,7,0.9706,0.3882,0.4286,0.4286,0.4286
A1B8Z0,320,"[67, 110, 159, 199, 226, 291]","[67, 110, 111, 159, 222]",6,5,0.9841,0.7106,0.6000,0.5000,0.5455
P37349,472,"[9, 169, 430]","[9, 169, 430]",3,3,1.0000,1.0000,1.0000,1.0000,1.0000
Q8T0S6,669,"[71, 161]","[71, 161]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
Q9I5W4,923,"[696, 697, 700]","[696, 697, 700, 716]",3,4,0.9993,0.8056,0.7500,1.0000,0.8571
Q9XSL6,776,"[170, 340, 341, 344, 350]","[170, 340, 341, 344, 350]",5,5,1.0000,1.0000,1.0000,1.0000,1.0000
P54511,278,"[150, 165]","[85, 150, 165]",2,3,1.0000,1.0000,0.6667,1.0000,0.8000
P77791,183,"[83, 113, 140, 158, 178, 181]",[113],6,1,0.9623,0.4425,1.0000,0.1667,0.2857
Q9LIG0,330,"[120, 122, 313]","[120, 122, 313]",3,3,1.0000,1.0000,1.0000,1.0000,1.0000
A0A1U8QFC3,553,[493],[493],1,1,1.0000,1.0000,1.0000,1.0000,1.0000
Q0V147,789,"[240, 251, 375, 416]","[223, 240, 251, 336, 343, 375, 416]",4,7,1.0000,1.0000,0.5714,1.0000,0.7273
Q55CS8,695,[639],[639],1,1,1.0000,1.0000,1.0000,1.0000,1.0000
P23298,683,"[384, 479]","[384, 479]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
Q96329,436,"[181, 207, 288, 324, 381, 385, 409, 428]","[313, 324]",8,2,0.8981,0.3683,0.5000,0.1250,0.2000
O93939,498,"[218, 341]","[218, 300, 341]",2,3,1.0000,1.0000,0.6667,1.0000,0.8000
Q23544,508,"[274, 404, 448]","[274, 404, 408, 448]",3,4,1.0000,1.0000,0.7500,1.0000,0.8571
P55356,474,"[101, 242, 244, 246]","[101, 102, 242, 244, 246]",4,5,1.0000,1.0000,0.8000,1.0000,0.8889
Q9FK51,351,"[63, 66, 94, 133, 173, 184, 186, 188, 216, 219, 255, 310, 321]","[63, 66, 133, 184, 186]",13,5,0.9665,0.7758,1.0000,0.3846,0.5556
Q54528,298,"[102, 248, 276]","[32, 102, 219, 248, 276]",3,5,1.0000,1.0000,0.6000,1.0000,0.7500
E7EZI4,430,[159],[159],1,1,1.0000,1.0000,1.0000,1.0000,1.0000
Q8VIV2,233,[2],[2],1,1,1.0000,1.0000,1.0000,1.0000,1.0000
O14156,383,"[92, 308, 347]","[92, 93, 308, 347]",3,4,1.0000,1.0000,0.7500,1.0000,0.8571
P22216,821,"[227, 319]","[227, 319]",2,2,1.0000,1.0000,1.0000,1.0000,1.0000
P04635,641,"[369, 535, 559, 599, 600, 602, 607, 610]","[369, 559, 600]",8,3,0.9408,0.5636,1.0000,0.3750,0.5455
P39840,325,"[177, 230, 283]","[74, 101, 177, 230, 283]",3,5,0.9979,0.8667,0.6000,1.0000,0.7500
Q54970,591,"[441, 468, 470]","[53, 441, 468]",3,3,0.9983,0.6389,0.6667,0.6667,0.6667
Q9HKT1,262,"[72, 85, 137, 138, 145, 149, 163]",[145],7,1,0.9081,0.4876,1.0000,0.1429,0.2500
P15109,197,[130],[],1,0,0.9184,0.0588,0.0000,0.0000,0.0000
Q5A3P6,947,"[269, 325, 364, 368, 382]","[269, 364]",5,2,0.9975,0.7548,1.0000,0.4000,0.5714
Q9XB60,250,[131],"[131, 229, 248]",1,3,1.0000,1.0000,0.3333,1.0000,0.5000
Q5FR18,303,"[89, 120, 195, 217, 222]","[89, 120, 195, 217, 222]",5,5,1.0000,1.0000,1.0000,1.0000,1.0000
C7EXL6,666,[301],"[301, 355, 431]",1,3,0.9970,0.3333,0.3333,1.0000,0.5000
A0A2P1BT06,707,[267],"[138, 139, 267, 364, 534, 700]",1,6,0.9929,0.1667,0.1667,1.0000,0.2857
Q54ME1,448,"[262, 397, 415]","[262, 397, 415]",3,3,1.0000,1.0000,1.0000,1.0000,1.0000
P51599,313,"[202, 205, 273]","[202, 204, 205, 209, 273]",3,5,1.0000,1.0000,0.6000,1.0000,0.7500
C4LK80,720,"[314, 439, 488, 684]","[488, 513, 516, 597]",4,4,0.9885,0.4782,0.2500,0.2500,0.2500
Q54QG0,769,"[53, 226, 509, 654]","[108, 110]",4,2,0.6755,0.1082,0.0000,0.0000,0.0000
A2PU44,601,[130],[526],1,1,0.9783,0.0714,0.0000,0.0000,0.0000
P53219,342,"[152, 319]","[152, 176, 319]",2,3,1.0000,1.0000,0.6667,1.0000,0.8000
