Protein_ID,Sequence_Length,Num_True_Catalytic_Residues,True_Catalytic_Sites,Predicted_Catalytic_Sites
O43980,309,2,"[82, 166]","[81, 82, 141, 166, 265, 266]"
Q02742,428,1,[320],"[246, 254, 320]"
Q5QKR8,334,10,"[81, 85, 127, 135, 139, 167, 175, 193, 252, 255]","[127, 135, 139, 164, 167]"
P46116,281,2,"[150, 210]","[78, 83, 87, 148, 150, 205, 210]"
P54637,990,1,[650],"[550, 613, 650, 656, 657]"
E7FHF1,114,3,"[15, 26, 28]","[15, 64, 104]"
P40376,512,2,"[230, 324]","[324, 326, 329, 360]"
P32945,549,7,"[301, 303, 329, 361, 362, 410, 485]","[301, 303, 329, 332, 333, 361, 362, 410, 445, 458, 485]"
P46489,453,9,"[88, 93, 198, 204, 211, 218, 237, 268, 293]","[265, 293]"
Q9VWU1,394,3,"[187, 234, 339]","[187, 234, 337, 339]"
B0WSX1,760,1,[389],"[121, 197, 223, 389, 415, 489, 700]"
D4GU60,405,3,"[24, 201, 202]","[24, 138, 201, 202, 204, 218]"
Q8SQZ6,579,3,"[175, 226, 449]","[34, 98, 205, 207, 218, 298, 334, 338, 444, 449]"
O53423,314,5,"[80, 119, 149, 244, 247]","[80, 149, 244, 247]"
Q9RDE9,431,10,"[29, 108, 153, 198, 200, 228, 276, 327, 356, 410]","[198, 200, 228, 253, 276, 277, 300, 327, 329]"
Q2G0P6,335,2,"[82, 115]","[111, 166, 197]"
G0L322,539,6,"[73, 144, 147, 152, 176, 271]","[147, 149, 151, 152]"
E9QBI7,478,4,"[296, 297, 300, 361]","[296, 297, 300, 305, 361, 365, 408]"
Q4QEY9,686,2,"[428, 530]",[336]
P0DTF7,300,6,"[62, 64, 130, 182, 199, 245]",[182]
Q6S5G3,793,2,"[180, 294]",[739]
O61125,461,2,"[49, 139]","[137, 139, 141, 144]"
A8GG78,444,3,"[356, 381, 415]","[381, 415]"
O27089,353,3,"[96, 186, 238]","[238, 240]"
Q4JB16,235,2,"[111, 131]","[21, 113]"
Q9Y898,518,2,"[109, 243]","[109, 243, 245, 282]"
P11439,638,2,"[474, 578]","[291, 495, 506, 553, 578]"
P35484,336,6,"[51, 115, 203, 237, 304, 312]","[42, 47, 50, 51]"
Q9VWP4,573,6,"[144, 168, 287, 344, 383, 388]","[144, 168, 242, 287, 422]"
E7FHN9,334,8,"[229, 232, 235, 239, 306, 309, 312, 316]","[92, 291, 295]"
Q06702,301,6,"[115, 116, 162, 166, 203, 263]","[115, 162, 166, 200, 227, 230, 263]"
Q4P804,406,3,"[146, 148, 159]","[82, 146, 148, 159]"
Q09363,356,2,"[208, 294]",[294]
O87876,438,2,"[298, 337]","[252, 298, 337]"
O16129,453,3,"[164, 285, 310]","[69, 172, 274, 285, 453]"
Q5A1W9,487,5,"[175, 178, 200, 203, 312]","[50, 52, 53, 130, 132]"
Q54EM5,566,1,[510],"[297, 510]"
Q04195,904,4,"[377, 379, 400, 403]",[379]
Q12043,749,2,"[216, 375]",[216]
B2A6B7,452,2,"[172, 192]","[23, 59, 283, 285]"
P32747,443,8,"[126, 146, 234, 264, 267, 306, 358, 387]","[38, 171, 175, 267, 269, 306, 335]"
Q03533,586,2,"[68, 180]","[180, 182, 184, 241]"
P46843,458,9,"[57, 90, 163, 182, 188, 245, 265, 285, 292]","[52, 142, 145, 379, 382]"
Q8EN08,262,3,"[71, 101, 135]",[71]
O81755,404,11,"[104, 108, 109, 112, 114, 116, 118, 204, 234, 235, 287]","[104, 108, 234, 346]"
Q59QL0,514,1,[343],[420]
P86074,35,2,"[7, 23]",[]
Q23498,618,7,"[189, 191, 278, 318, 427, 461, 463]","[191, 278, 318, 319, 427, 461, 463]"
K2RU68,203,1,[77],"[39, 40, 41, 77, 81]"
Q9WYP4,311,5,"[35, 37, 46, 117, 173]","[117, 118, 168, 227]"
Q9VM90,456,2,"[130, 221]","[221, 223, 225, 262]"
P11018,319,3,"[50, 87, 246]","[50, 51, 87, 179, 246]"
Q9YFY8,409,8,"[9, 11, 50, 85, 86, 170, 199, 201]","[9, 50, 86, 87, 170, 201]"
Q72E85,255,16,"[20, 23, 26, 30, 75, 78, 83, 87, 108, 111, 114, 118, 155, 158, 188, 192]",[87]
Q6DNF3,708,3,"[105, 439, 483]","[6, 105]"
I6Y2J4,437,3,"[309, 383, 413]","[309, 383, 413]"
M2ZIX7,309,1,[182],"[169, 170, 182, 186]"
P32823,820,1,[313],"[309, 311, 313, 389, 459]"
Q621J7,709,2,"[41, 130]",[130]
P22806,389,4,"[19, 131, 178, 351]","[45, 174, 178, 203, 206, 237, 348]"
B2UP57,493,10,"[122, 151, 214, 227, 247, 278, 279, 288, 291, 345]","[214, 278, 279, 288, 328, 375]"
Q7VQW8,357,7,"[9, 11, 93, 95, 101, 103, 130]","[9, 11, 105, 130, 134, 230, 231, 235, 325, 328]"
Q21376,709,5,"[43, 44, 79, 308, 309]","[43, 44, 83, 134, 217, 309, 322]"
O07566,441,7,"[151, 225, 242, 274, 282, 292, 379]","[151, 222, 225, 242, 244, 247]"
Q54VC0,418,2,"[41, 139]",[139]
Q5BD29,555,2,"[392, 488]","[488, 546]"
Q9X1G3,565,3,"[254, 298, 300]","[37, 136, 192, 230, 254, 258, 298, 331]"
Q6DRD3,336,7,"[71, 100, 102, 105, 189, 191, 257]",[]
P76190,271,3,"[169, 224, 236]","[169, 170, 224]"
A1A6H3,379,9,"[210, 255, 319, 321, 325, 355, 358, 360, 364]","[210, 233, 322, 323, 324, 325]"
B0TFA7,385,4,"[34, 102, 126, 200]","[14, 37, 50, 154]"
Q9ZHY3,362,5,"[13, 30, 41, 52, 262]","[13, 262]"
A0A3G5BB24,163,1,[83],"[69, 83]"
Q0V9R3,834,3,"[354, 362, 363]","[360, 465, 581, 675, 679]"
P39671,542,10,"[17, 21, 112, 125, 276, 278, 280, 343, 375, 495]","[17, 110, 112, 113, 125, 248, 278, 280, 281, 346, 374]"
Q9X0L3,217,4,"[11, 77, 139, 183]","[8, 183]"
P36163,345,4,"[203, 204, 207, 257]","[203, 204, 207, 212, 257, 261, 306]"
Q60314,378,4,"[8, 11, 15, 43]","[8, 11, 15, 43]"
Q4U3Y2,549,1,[110],[191]
A3CTK0,187,6,"[117, 127, 146, 159, 166, 170]","[113, 117, 127]"
Q5QHG6,495,7,"[259, 271, 303, 304, 332, 429, 430]","[259, 261, 271, 303, 304, 332, 385, 387, 429, 430, 434]"
Q54IP4,653,2,"[201, 298]","[296, 298, 337]"
G8SD34,720,2,"[48, 84]","[576, 691]"
Q57688,417,1,[41],"[20, 310]"
P10484,520,1,[254],"[33, 302]"
Q9R5V5,157,1,[98],"[7, 72, 92, 98]"
Q04049,632,2,"[30, 155]","[272, 279]"
Q9I4U2,847,1,[265],"[266, 285]"
Q9S713,562,2,"[167, 279]","[167, 279, 281, 319]"
Q2UPC5,306,1,[237],"[31, 120, 125, 237, 246]"
Q22036,648,3,"[83, 252, 290]","[77, 83, 252, 290, 292]"
O80831,691,8,"[289, 329, 337, 422, 530, 535, 618, 654]","[422, 621]"
Q8PU60,177,8,"[85, 88, 91, 95, 125, 128, 131, 135]",[95]
Q6BZH1,683,1,[116],"[60, 116]"
P72173,398,4,"[36, 132, 185, 376]","[132, 213, 215, 248, 256]"
Q93Z04,501,4,"[217, 241, 245, 297]","[219, 297]"
Q75SP7,274,3,"[40, 108, 140]","[92, 108, 115, 140, 164, 166]"
Q9XG80,138,5,"[48, 50, 53, 72, 73]","[48, 50, 72, 73, 87]"
B5GRC8,343,6,"[114, 119, 206, 252, 256, 260]","[111, 114, 118, 210, 211, 252, 334, 339, 341]"
Q9AAA6,168,2,"[115, 141]","[28, 116, 141]"
P71011,448,6,"[129, 133, 136, 408, 414, 417]","[129, 133, 136, 344, 362]"
Q17426,577,1,[188],[274]
F0X8C8,408,5,"[190, 209, 248, 275, 357]","[190, 192, 209, 247, 248, 275, 357, 361]"
P27035,459,2,"[286, 378]","[209, 285, 286, 351, 353, 378, 418]"
P40601,645,3,"[34, 327, 330]","[34, 43, 124, 327, 330, 374]"
I1BYM7,385,2,"[210, 233]","[189, 192, 211, 233, 269]"
P21637,459,4,"[338, 344, 377, 381]","[148, 376, 377, 381]"
P32586,711,1,[630],"[535, 601, 629, 630, 636, 637]"
Q8MYY6,558,9,"[150, 186, 209, 210, 211, 312, 340, 343, 346]","[315, 340, 343]"
Q86TM3,631,3,"[244, 249, 311]","[68, 163, 266, 272, 307, 408, 553, 557]"
Q92111,524,1,[457],"[322, 326, 330, 457]"
Q8TZH9,254,8,"[68, 84, 86, 87, 171, 176, 195, 202]","[47, 84, 89]"
Q55A00,406,3,"[136, 190, 194]","[134, 136, 190, 194]"
Q8H215,68,3,"[18, 19, 48]","[45, 48]"
Q02863,499,2,"[62, 407]","[62, 407]"
O45797,908,2,"[531, 625]","[443, 625, 627, 630, 704, 867]"
Q9VUY0,698,7,"[232, 265, 266, 347, 425, 427, 500]","[265, 266, 347, 425, 427, 500]"
P23382,687,3,"[266, 267, 270]","[267, 278, 423]"
B2AM55,430,3,"[301, 311, 399]","[30, 136, 168, 399]"
P74297,574,2,"[65, 163]","[9, 65, 163, 165, 444]"
B6H6L7,399,3,"[57, 60, 170]","[57, 60, 127, 170, 175, 344]"
F1SY74,613,1,[526],"[382, 526]"
Q0WSX8,255,1,[83],"[18, 83]"
Q86JJ0,312,4,"[85, 133, 138, 183]",[]
Q67SW0,517,11,"[14, 64, 125, 187, 193, 334, 401, 405, 442, 443, 461]","[64, 155, 156, 259, 261, 334, 405, 461]"
Q4FS72,431,5,"[173, 205, 256, 320, 346]","[202, 256, 313]"
P43337,192,2,"[83, 87]",[]
Q9XTD6,384,4,"[164, 165, 168, 174]","[164, 165, 168, 174, 222]"
Q9VQN8,523,1,[253],"[296, 349]"
O06335,552,2,"[48, 445]","[48, 109, 420]"
P9WNE5,181,5,"[22, 55, 58, 99, 132]","[22, 55, 58, 99, 132]"
O32183,127,1,[2],"[40, 57, 77]"
P75430,164,6,"[50, 55, 124, 125, 153, 154]",[115]
Q84BQ9,254,5,"[107, 128, 149, 175, 191]","[149, 191]"
Q9L9E9,288,3,"[103, 127, 131]","[103, 127, 131, 150]"
Q9LUS8,493,4,"[180, 181, 408, 471]","[180, 295, 354, 471]"
Q04751,285,5,"[116, 185, 186, 228, 233]","[165, 186, 187]"
Q8ZZP3,131,3,"[6, 100, 118]","[6, 42, 100]"
Q6B9Y8,889,11,"[125, 128, 143, 148, 225, 237, 239, 286, 387, 419, 423]",[419]
Q5VZV1,264,4,"[92, 141, 172, 193]","[120, 226]"
P53720,384,4,"[88, 117, 160, 188]","[11, 117, 160, 188]"
B6PLN3,105,1,[48],"[24, 48]"
P91828,360,4,"[165, 166, 169, 175]","[165, 166, 169, 175, 224]"
Q24488,685,2,"[442, 539]","[539, 543, 558]"
F4JNL3,356,3,"[157, 294, 314]","[151, 154, 157, 294, 314]"
P41734,238,5,"[12, 53, 83, 187, 190]","[12, 83, 84, 187, 190]"
P30043,206,4,"[35, 132, 153, 154]",[200]
B1L6M8,590,5,"[90, 125, 278, 280, 283]","[125, 248, 249, 250, 278, 283]"
Q936X2,605,3,"[91, 165, 189]","[91, 165, 166, 186, 187, 189, 419]"
P96630,169,3,"[75, 76, 79]","[72, 76, 103]"
Q99558,947,2,"[429, 515]","[515, 517]"
A6R104,205,1,[162],"[126, 146, 198]"
Q7M0R2,274,4,"[133, 156, 198, 207]",[199]
C1F1C7,325,2,"[172, 267]","[24, 172, 265, 267]"
O28242,313,4,"[57, 121, 190, 226]","[57, 121]"
O42773,639,7,"[120, 122, 148, 180, 181, 229, 311]","[120, 122, 148, 151, 152, 180, 181, 229, 284, 311]"
O94702,822,7,"[161, 173, 207, 208, 234, 306, 307]","[161, 163, 173, 207, 208, 282, 307, 311]"
Q3S8P9,359,6,"[32, 92, 155, 186, 227, 341]","[117, 155, 183, 219]"
Q28CZ9,523,2,"[89, 112]","[89, 495]"
B7XHR6,595,2,"[96, 188]","[8, 188, 190, 193, 225]"
Q9C533,596,1,[193],"[345, 512]"
Q12303,508,2,"[81, 288]","[81, 84, 129, 212, 288, 292]"
P21514,362,7,"[127, 141, 200, 232, 262, 286, 341]","[51, 283]"
A1B8Z0,320,6,"[67, 110, 159, 199, 226, 291]",[222]
P37349,472,3,"[9, 169, 430]","[9, 70, 169, 430]"
Q8T0S6,669,2,"[71, 161]","[161, 163, 166]"
Q9I5W4,923,3,"[696, 697, 700]","[697, 716]"
Q9XSL6,776,5,"[170, 340, 341, 344, 350]","[340, 341, 344, 350]"
P54511,278,2,"[150, 165]","[150, 165]"
P77791,183,6,"[83, 113, 140, 158, 178, 181]","[69, 70, 113, 125]"
Q9LIG0,330,3,"[120, 122, 313]","[122, 177, 179, 313]"
A0A1U8QFC3,553,1,[493],"[358, 493]"
Q0V147,789,4,"[240, 251, 375, 416]","[223, 240, 251, 332, 336, 343, 375, 414, 416]"
Q55CS8,695,1,[639],"[609, 639, 645, 646]"
P23298,683,2,"[384, 479]","[479, 481, 484, 517]"
Q96329,436,8,"[181, 207, 288, 324, 381, 385, 409, 428]","[124, 172, 365, 408, 420]"
O93939,498,2,"[218, 341]","[50, 117, 217, 302, 341]"
Q23544,508,3,"[274, 404, 448]","[270, 404, 412, 415]"
P55356,474,4,"[101, 242, 244, 246]","[52, 101, 102, 111, 244, 246, 323, 438]"
Q9FK51,351,13,"[63, 66, 94, 133, 173, 184, 186, 188, 216, 219, 255, 310, 321]","[63, 66, 133, 173, 180, 181, 184, 186, 188]"
Q54528,298,3,"[102, 248, 276]","[32, 61, 102, 103, 219, 248, 276]"
E7EZI4,430,1,[159],[]
Q8VIV2,233,1,[2],"[2, 113]"
O14156,383,3,"[92, 308, 347]","[92, 94, 275, 307, 308, 347]"
P22216,821,2,"[227, 319]","[319, 321, 358, 361]"
P04635,641,8,"[369, 535, 559, 599, 600, 602, 607, 610]","[369, 370, 559, 600, 606]"
P39840,325,3,"[177, 230, 283]","[101, 177, 283]"
Q54970,591,3,"[441, 468, 470]","[115, 116, 258, 388, 474, 477]"
Q9HKT1,262,7,"[72, 85, 137, 138, 145, 149, 163]",[145]
P15109,197,1,[130],[122]
Q5A3P6,947,5,"[269, 325, 364, 368, 382]","[364, 366, 368, 369, 411]"
Q9XB60,250,1,[131],"[62, 131, 138, 229]"
Q5FR18,303,5,"[89, 120, 195, 217, 222]","[87, 92, 124, 147, 192, 222]"
C7EXL6,666,1,[301],"[198, 247, 248, 296, 301, 355, 435]"
A0A2P1BT06,707,1,[267],"[534, 543, 685]"
Q54ME1,448,3,"[262, 397, 415]","[37, 128, 256, 262, 397]"
P51599,313,3,"[202, 205, 273]","[202, 204, 205, 243, 271, 273]"
C4LK80,720,4,"[314, 439, 488, 684]","[340, 439, 484, 488, 513, 516, 567]"
Q54QG0,769,4,"[53, 226, 509, 654]","[111, 199, 226, 679]"
A2PU44,601,1,[130],[130]
P53219,342,2,"[152, 319]","[83, 152, 319]"
Q9ZQ31,411,2,"[157, 256]","[157, 179, 256, 258]"
Q9C5S1,784,1,[235],[235]
Q17577,540,3,"[415, 430, 522]","[185, 187, 240, 274, 436, 522]"
P30269,976,7,"[243, 284, 293, 323, 327, 375, 447]","[244, 321, 323, 375, 446, 447]"
S0DS17,369,1,[303],"[161, 191, 303]"
Q5WB95,207,1,[10],"[99, 147, 149]"
Q4PHZ2,517,1,[319],"[318, 319, 320, 427]"
Q6LX63,566,11,"[66, 85, 88, 229, 355, 360, 441, 458, 460, 468, 528]",[85]
Q9ZJ81,284,5,"[70, 167, 169, 177, 236]","[179, 234]"
Q8L493,373,3,"[128, 222, 255]","[222, 255]"
P95481,361,3,"[313, 321, 332]","[137, 261, 310, 313]"
P23872,319,3,"[165, 262, 292]","[165, 195, 262, 292, 296]"
Q4PSE8,447,4,"[69, 70, 231, 270]","[69, 71, 144, 230, 231, 270]"
Q54PK9,908,5,"[300, 355, 394, 398, 412]","[394, 396, 398, 399, 436, 825]"
Q8THG6,411,3,"[15, 19, 22]","[6, 15, 19, 45, 88]"
Q6AIT8,226,7,"[9, 59, 119, 146, 187, 208, 212]","[63, 119, 146, 187]"
P21182,396,6,"[29, 32, 88, 102, 287, 301]","[102, 287, 301]"
O77081,380,8,"[100, 159, 184, 192, 196, 239, 284, 299]","[79, 159, 192, 196]"
Q4WD45,574,3,"[394, 431, 433]","[316, 318, 336, 339, 392, 394, 396, 431, 435]"
P0A7A5,208,1,[59],"[32, 59]"
A5FZN7,223,5,"[16, 37, 41, 52, 118]","[11, 12, 15, 16, 37, 41, 52, 118, 183]"
P12546,264,3,"[68, 126, 218]","[29, 68, 126, 216, 218, 236, 249]"
A8BQJ3,754,6,"[336, 404, 407, 649, 720, 723]","[284, 336, 340, 400, 404, 407, 438, 649, 653, 716, 723]"
Q8NE63,616,2,"[40, 136]","[134, 136, 138]"
P33180,494,6,"[38, 53, 64, 224, 228, 256]","[44, 52, 224, 228, 255, 260, 320]"
Q9FM79,380,7,"[164, 198, 220, 221, 242, 298, 300]","[198, 220, 221, 242]"
P41654,334,3,"[11, 14, 41]",[]
Q9HV27,393,6,"[180, 220, 221, 249, 281, 282]","[180, 224, 281, 282, 310, 314]"
O34705,259,3,"[88, 206, 236]","[88, 206, 236]"
Q02595,510,2,"[140, 230]","[230, 232, 269]"
O02002,323,2,"[154, 196]","[154, 186, 196]"
O25503,262,3,"[29, 83, 155]",[]
P38838,269,4,"[115, 116, 119, 125]","[116, 125]"
P84142,91,2,"[20, 38]","[20, 38]"
Q0P9D4,590,9,"[351, 355, 397, 409, 433, 441, 458, 523, 526]","[16, 125, 255, 409, 527]"
Q869L4,793,2,"[46, 138]","[138, 140]"
Q2UPB4,334,3,"[93, 122, 294]",[301]
D3DFS4,334,1,[93],"[93, 219, 261, 263]"
P40986,491,4,"[95, 144, 183, 323]","[94, 95, 144, 184, 185, 259, 264, 287, 314, 316]"
E4N7E5,320,8,"[75, 78, 79, 83, 171, 217, 221, 225]","[74, 75, 78, 145, 217, 221, 224, 228, 303, 304]"
Q7Z9M7,249,3,"[20, 108, 195]","[20, 108, 184]"
Q2NL51,490,2,"[148, 244]","[244, 246]"
P16854,540,3,"[191, 324, 442]","[141, 191, 324, 442]"
Q86KK2,149,4,"[28, 84, 97, 99]","[84, 95, 97, 99]"
P42790,587,8,"[295, 299, 502, 543, 544, 559, 561, 563]","[295, 299, 385, 502]"
O26901,690,1,[26],"[51, 364, 367]"
A0A166YZU9,392,1,[353],"[197, 267, 353]"
P27874,430,2,"[333, 346]","[157, 333, 346]"
Q06522,304,1,[109],"[38, 109, 110, 289]"
L0E155,667,14,"[48, 70, 79, 82, 108, 144, 168, 399, 412, 494, 597, 600, 613, 616]",[487]
Q9VHV1,737,5,"[21, 26, 58, 113, 114]","[195, 202]"
Q98KK0,383,3,"[201, 203, 344]","[201, 203, 260, 344, 361]"
Q9Y7L4,409,4,"[86, 386, 389, 395]","[112, 209]"
P9WLL7,137,1,[67],"[61, 64, 117]"
P33663,242,3,"[69, 103, 120]","[101, 102, 103, 120, 233]"
Q9JJN0,694,9,"[13, 14, 61, 115, 116, 616, 619, 631, 635]",[223]
Q9SJA1,672,10,"[64, 67, 75, 78, 84, 88, 97, 101, 183, 439]","[178, 183, 439]"
P0CD62,966,2,"[729, 825]",[825]
Q01198,305,2,"[144, 157]","[115, 144, 157, 161]"
Q4WEE0,236,1,[131],"[24, 34, 91, 131, 132]"
Q57749,294,4,"[116, 186, 228, 265]","[80, 82, 84, 85, 208, 210, 237, 265, 266]"
Q8EVU1,429,3,"[284, 305, 420]","[137, 199, 200, 284, 305, 420]"
P34205,556,1,[333],"[116, 378, 382, 451, 455]"
O83859,366,1,[44],"[44, 72, 86, 200]"
Q54XL6,574,2,"[126, 221]","[221, 223, 226]"
D3KVM6,183,1,[113],[113]
Q9ZI86,511,3,"[269, 330, 382]","[269, 316, 330, 382, 436]"
Q9Z175,754,3,"[608, 610, 612]",[612]
S0DQ98,338,1,[227],[65]
B0R9W6,257,7,"[44, 48, 52, 55, 57, 90, 92]","[42, 48, 52, 55, 117, 136, 245, 247]"
O54571,239,3,"[75, 80, 142]","[54, 89, 142]"
C0SPA0,718,3,"[406, 435, 525]","[221, 435, 437, 525]"
Q7UK67,227,2,"[124, 149]","[95, 124, 149, 198]"
Q9HLE6,410,9,"[25, 115, 183, 293, 320, 321, 324, 365, 391]","[20, 91, 224, 226, 321, 364, 365, 391]"
Q54CD6,697,1,[233],"[178, 256, 553, 557, 560]"
Q5B998,368,4,"[95, 119, 212, 227]","[119, 223, 227]"
O45686,393,4,"[140, 159, 318, 331]","[140, 159, 221, 318, 331]"
Q7XQZ6,445,15,"[40, 127, 166, 196, 234, 237, 312, 322, 325, 341, 363, 402, 406, 410, 414]","[40, 164]"
Q54Y55,506,2,"[51, 147]","[147, 421]"
Q54F47,495,1,[441],"[302, 310, 311, 441]"
Q1ZXC8,691,2,"[47, 137]","[137, 139, 177, 287]"
Q8C2P3,475,4,"[79, 108, 147, 175]","[108, 147, 175]"
Q08548,619,3,"[146, 297, 382]",[388]
P0CU70,538,1,[472],"[321, 472, 481]"
Q503I8,644,7,"[236, 239, 268, 271, 294, 321, 338]","[294, 321, 338]"
P25472,584,2,"[159, 264]","[74, 220, 264, 450]"
J3K844,303,4,"[50, 70, 72, 118]","[50, 72, 84, 120, 238]"
Q9FI61,192,1,[88],[88]
P06279,549,17,"[139, 196, 218, 220, 231, 237, 238, 239, 268, 272, 298, 337, 339, 365, 440, 441, 464]","[266, 268, 298, 364, 365]"
O16977,651,4,"[291, 292, 295, 301]","[291, 292, 295, 301, 305, 349]"
Q9F3C7,314,6,"[194, 195, 208, 210, 272, 277]",[]
C0QRQ2,403,2,"[150, 273]",[273]
Q3E989,512,6,"[302, 324, 325, 346, 415, 417]","[302, 324, 325, 346]"
C0LGK4,915,2,"[555, 657]",[]
P41963,199,7,"[89, 91, 106, 114, 123, 126, 163]","[106, 189]"
Q7ZVS8,743,5,"[121, 152, 171, 239, 279]","[279, 316]"
Q7Z5A4,293,3,"[120, 166, 267]","[120, 166, 265, 267, 268]"
P56064,559,3,"[252, 296, 298]","[37, 40, 61, 190, 228, 252, 296, 298, 329]"
Q74CU0,880,5,"[500, 502, 579, 632, 661]","[11, 13, 97, 99, 149, 340, 402, 443, 619]"
O29867,868,9,"[47, 81, 154, 161, 162, 163, 360, 426, 618]","[163, 325, 360, 552, 618]"
Q1ECV4,771,2,"[390, 392]","[158, 343, 392, 416, 512, 527]"
Q9S850,393,3,"[98, 202, 207]","[98, 202, 241]"
Q9FXG2,463,3,"[153, 239, 376]","[153, 239, 271, 282, 380, 405, 409, 463]"
Q796K8,704,1,[415],"[182, 415, 418, 469, 631]"
O57712,389,6,"[233, 238, 260, 277, 304, 327]","[277, 280, 327]"
B0G0Y8,466,5,"[213, 217, 253, 254, 364]","[109, 213, 217, 253, 257, 283]"
Q9K8X1,427,5,"[62, 64, 141, 194, 225]","[135, 194, 229]"
O26687,651,5,"[143, 146, 156, 159, 328]","[18, 21, 143, 146, 156, 173, 325, 328, 387]"
E6R427,286,4,"[133, 138, 141, 181]","[133, 141, 181, 211]"
Q54TH6,597,2,"[361, 454]","[361, 454, 456]"
Q84MA1,599,4,"[328, 355, 465, 516]","[465, 468]"
P45951,536,8,"[282, 313, 389, 429, 431, 501, 526, 527]","[312, 389, 403, 429, 501, 527]"
E5A7D6,551,1,[495],"[341, 495]"
Q20085,468,4,"[135, 224, 229, 242]","[135, 224, 226]"
Q9YDW0,471,3,"[112, 166, 310]","[112, 144, 156, 164, 260, 284, 319]"
Q7RX33,876,9,"[88, 119, 125, 146, 202, 242, 413, 506, 510]","[510, 830]"
Q9N2V9,760,5,"[502, 506, 542, 543, 656]","[501, 506, 542, 546, 572, 677]"
A5JTM5,269,5,"[24, 90, 114, 145, 257]","[64, 145, 252]"
P83179,140,1,[70],"[79, 81, 96]"
Q8C015,719,2,"[478, 568]","[494, 568, 570]"
Q06584,689,3,"[656, 681, 685]","[657, 685]"
Q9RV39,434,4,"[33, 35, 96, 177]","[23, 35, 67, 256, 257, 260, 310]"
Q7M438,223,3,"[63, 113, 117]","[63, 113, 117]"
P28321,313,3,"[123, 251, 281]","[123, 251, 281]"
Q83GI1,293,2,"[117, 218]","[25, 27, 117, 119, 218, 276]"
O22827,198,1,[123],"[87, 107, 141]"
Q8NB12,490,13,"[52, 55, 65, 68, 74, 78, 86, 90, 135, 208, 274, 276, 279]","[68, 252]"
Q6ZQ88,853,5,"[290, 309, 311, 317, 802]","[316, 762]"
P53314,239,5,"[39, 41, 150, 152, 155]","[39, 150, 152, 155]"
Q03161,297,6,"[57, 81, 86, 159, 203, 264]","[82, 159, 264]"
P47473,721,13,"[159, 176, 183, 204, 213, 384, 386, 388, 413, 694, 695, 716, 719]","[176, 384, 388, 413, 595, 694]"
Q8W583,190,1,[66],[]
Q7MUW6,732,3,"[603, 678, 710]","[305, 603, 604, 639, 678, 710]"
Q83WC3,277,2,"[171, 172]",[225]
P10478,837,2,"[645, 754]","[172, 230, 260, 645, 754, 756]"
Q8RV79,351,4,"[163, 184, 192, 250]","[98, 163, 192]"
Q99396,572,2,"[274, 317]","[391, 422]"
Q8SV03,411,2,"[66, 68]","[66, 68, 216]"
Q9YD20,163,4,"[66, 69, 96, 99]",[]
P25524,427,8,"[62, 64, 157, 215, 218, 247, 314, 320]","[64, 157, 218, 314]"
H2VFI5,377,1,[212],"[11, 100, 205, 303]"
O59923,519,6,"[348, 356, 359, 380, 383, 472]","[256, 257, 259, 329, 331, 348]"
O13924,488,2,"[184, 305]","[184, 305]"
Q6QWR1,621,4,"[454, 456, 553, 596]","[553, 596]"
